AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90,SLOPE_PC
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-13.48,16.29,0.55,0.78,1.06,0.56,1.19,0.91,0.69,0.55,110427,1.84,85.92
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-21.26,38.91,-0.26,2.35,3.60,-0.43,3.61,2.38,0.10,0.26,16656,5.03,12.96
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-91.75,100.64,0.08,1.02,1.65,0.13,1.65,1.03,0.72,0.08,128518,2.1,100
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-40.34,16.67,0.14,0.81,1.08,0.17,1.09,0.82,0.60,0.14,109909,1.71,85.52
brazil,S08QW038C,SRTM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-91.75,100.64,-0.32,2.27,3.50,-0.54,3.51,2.31,0.09,0.32,17183,4.84,13.37
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,ALL,99.11,-8.24,22.19,0.51,0.66,0.96,0.42,1.09,0.76,0.54,0.51,128162,1.7,100
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,FLAT,99.11,-5.12,20.01,0.54,0.58,0.83,0.42,0.99,0.70,0.45,0.54,110358,1.56,86.11
brazil,S08QW038C,ALOS,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_area,DTM,STEEP,99.11,-7.56,11.97,0.33,1.10,1.46,0.31,1.50,1.13,0.06,0.33,16734,2.38,13.06
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,ALL,99.11,-47.28,36.24,0.15,0.61,0.87,0.12,0.88,0.62,0.45,0.15,128162,1.33,100
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,FLAT,99.11,-47.28,18.93,0.13,0.56,0.79,0.11,0.80,0.57,0.38,0.13,109819,1.21,85.69
brazil,S08QW038C,ALOS,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_area,DSM,STEEP,99.11,-42.05,36.24,0.27,0.86,1.15,0.26,1.18,0.89,0.06,0.27,17264,1.91,13.47
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-24.80,58.81,0.35,1.02,1.80,0.43,1.83,1.09,0.78,0.35,128518,2.13,100
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-13.16,13.59,0.45,0.77,1.05,0.48,1.14,0.87,0.66,0.45,110427,1.75,85.92
brazil,S08QW038C,NASA,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-24.80,58.81,-0.33,2.44,4.10,-0.53,4.11,2.49,0.10,0.33,16656,5.09,12.96
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-147.06,96.38,-0.02,1.03,1.79,0.04,1.79,1.03,0.71,0.02,128518,2.07,100
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-34.59,16.67,0.04,0.80,1.07,0.08,1.07,0.80,0.59,0.04,109909,1.67,85.52
brazil,S08QW038C,NASA,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-147.06,96.38,-0.39,2.35,4.00,-0.66,4.02,2.41,0.09,0.39,17183,4.9,13.37
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-26.68,20.33,1.55,1.24,1.87,1.62,2.43,1.95,1.73,1.55,128518,3.53,100
