AREA,DEMIX_TILE,REF_TYPE,REF_SLOPE,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
la_palma,N28XW018B,DSM,FOREST,ELD_MAE,19.8,17.82,10.79,19.28,19.72,22.32
la_palma,N28XW018B,DSM,FOREST,ELD_LE90,38.23,35.38,17.87,41.99,43.66,50.04
us_3dep,N38UW079G,DTM,ALL,ELD_AVG,5.29,6.26,5.79,5.28,5.31,6.92
us_3dep,N38UW079G,DTM,ALL,ELD_STD,6.83,7.52,7.07,6.56,6.61,8.58
us_3dep,N38UW079G,DTM,ALL,ELD_RMSE,7.67,11.9,11.16,8.24,7.75,13.56
us_3dep,N38UW079G,DTM,ALL,ELD_MAE,5.63,9.73,9.23,6.5,6.1,11.51
us_3dep,N38UW079G,DTM,ALL,ELD_LE90,12.72,19.16,18.1,13.59,12.82,21.14
us_3dep,N38UW079G,DTM,STEEP,ELD_AVG,6.17,6.12,4.95,5.7,5.79,5.93
us_3dep,N38UW079G,DTM,STEEP,ELD_STD,7.76,7.52,6.13,7.13,7.23,7.53
us_3dep,N38UW079G,DTM,STEEP,ELD_RMSE,8.81,13.43,12.69,9.39,8.83,15.23
us_3dep,N38UW079G,DTM,STEEP,ELD_MAE,6.8,11.64,11.24,7.78,7.27,13.56
us_3dep,N38UW079G,DTM,STEEP,ELD_LE90,14.56,20.51,19.32,14.92,14.13,22.52
us_3dep,N38UW079G,DTM,FLAT,ELD_AVG,3.37,5.16,5.28,3.77,3.82,6.7
us_3dep,N38UW079G,DTM,FLAT,ELD_STD,4.37,6.13,6.39,4.72,4.75,8.08
us_3dep,N38UW079G,DTM,FLAT,ELD_RMSE,4.92,8.39,7.61,5.56,5.23,9.77
us_3dep,N38UW079G,DTM,FLAT,ELD_MAE,3.5,6.22,5.57,4.15,3.96,7.76
us_3dep,N38UW079G,DTM,FLAT,ELD_LE90,8.8,14.45,13.54,9.27,8.72,16.19
us_3dep,N38UW079H,DTM,ALL,ELD_AVG,6.55,6.74,5.23,6.47,6.54,6.96
us_3dep,N38UW079H,DTM,ALL,ELD_STD,8.7,8.74,6.65,8.35,8.45,8.8
us_3dep,N38UW079H,DTM,ALL,ELD_RMSE,8.75,16.62,10.8,12.47,11.96,18.14
us_3dep,N38UW079H,DTM,ALL,ELD_MAE,6.53,14.79,8.7,10.56,10.02,16.14
us_3dep,N38UW079H,DTM,ALL,ELD_LE90,14.72,24.58,18.32,19.86,19.18,27.33
us_3dep,N38UW079H,DTM,STEEP,ELD_AVG,7.09,7.03,5.34,6.86,6.94,6.96
us_3dep,N38UW079H,DTM,STEEP,ELD_STD,9.29,9.14,6.77,8.82,8.93,8.84
us_3dep,N38UW079H,DTM,STEEP,ELD_RMSE,9.35,17.1,11.02,13.03,12.51,18.56
us_3dep,N38UW079H,DTM,STEEP,ELD_MAE,7.05,15.24,8.91,11.11,10.57,16.61
us_3dep,N38UW079H,DTM,STEEP,ELD_LE90,15.92,25.2,18.55,20.62,19.95,27.71
us_3dep,N38UW079H,DTM,FLAT,ELD_AVG,4.34,5.3,4.68,4.56,4.63,6.67
us_3dep,N38UW079H,DTM,FLAT,ELD_STD,5.56,6.74,6.06,5.82,5.91,8.37
us_3dep,N38UW079H,DTM,FLAT,ELD_RMSE,5.61,14.49,9.84,9.84,9.32,16.25
us_3dep,N38UW079H,DTM,FLAT,ELD_MAE,4.37,12.89,7.86,8.28,7.73,14.21
us_3dep,N38UW079H,DTM,FLAT,ELD_LE90,9.24,21.57,17.22,15.61,15.03,25.39
us_3dep,N38UW079J,DTM,ALL,ELD_AVG,4.08,7.75,7.42,5.6,5.8,9.2
us_3dep,N38UW079J,DTM,ALL,ELD_STD,5.68,8.98,8.7,6.86,7.09,10.81
us_3dep,N38UW079J,DTM,ALL,ELD_RMSE,5.74,12.92,10.99,8.84,8.65,13.31
us_3dep,N38UW079J,DTM,ALL,ELD_MAE,4.12,9.77,8.01,6.58,6.41,10.34
us_3dep,N38UW079J,DTM,ALL,ELD_LE90,9.82,21.97,19.51,15.31,15,22.57
us_3dep,N38UW079J,DTM,STEEP,ELD_AVG,5.64,6.64,6.89,6.01,6.18,7.57
us_3dep,N38UW079J,DTM,STEEP,ELD_STD,7.16,8.32,8.24,7.42,7.65,9.61
us_3dep,N38UW079J,DTM,STEEP,ELD_RMSE,7.23,16.46,14.09,11.72,11.5,17.38
us_3dep,N38UW079J,DTM,STEEP,ELD_MAE,5.69,14.53,11.76,9.81,9.54,15.21
us_3dep,N38UW079J,DTM,STEEP,ELD_LE90,11.96,24.72,22.32,18.69,18.41,26.34
us_3dep,N38UW079J,DTM,FLAT,ELD_AVG,2.93,6.27,5.7,3.97,4.12,7.05
us_3dep,N38UW079J,DTM,FLAT,ELD_STD,4.28,7.65,7.31,5.08,5.26,8.83
us_3dep,N38UW079J,DTM,FLAT,ELD_RMSE,4.33,9.55,8,5.91,5.74,9.29
us_3dep,N38UW079J,DTM,FLAT,ELD_MAE,2.98,6.3,5.28,4.22,4.12,6.79
us_3dep,N38UW079J,DTM,FLAT,ELD_LE90,7.43,18.09,15.18,10.37,9.96,16.52
us_3dep,N38VW124H,DTM,ALL,ELD_AVG,9.18,10.17,8.91,9.99,9.74,11.99
us_3dep,N38VW124H,DTM,ALL,ELD_STD,11.98,12.7,11.26,12.53,12.23,15.07
us_3dep,N38VW124H,DTM,ALL,ELD_RMSE,12.41,21.93,17.66,21.88,19.12,21.05
us_3dep,N38VW124H,DTM,ALL,ELD_MAE,9.37,18.25,14.21,18.32,15.5,16.74
us_3dep,N38VW124H,DTM,ALL,ELD_LE90,21.03,34.98,28.88,34.92,31.31,34.84
us_3dep,N38VW124H,DTM,STEEP,ELD_AVG,10.43,10.18,8.62,10.1,9.98,12.85
us_3dep,N38VW124H,DTM,STEEP,ELD_STD,13.2,12.73,11.06,12.69,12.55,16.01
us_3dep,N38VW124H,DTM,STEEP,ELD_RMSE,13.73,23.82,19.13,23.67,20.8,23.04
us_3dep,N38VW124H,DTM,STEEP,ELD_MAE,10.98,20.48,15.96,20.36,17.4,18.73
