AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,REC_ID,BEST_DEM,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,ALL,51,ALOS,ELD_RMSE,6.45,6.33,3.1,7.31,7.14,9.15
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,ALL,51,ALOS,ELD_MAE,4.4,4.4,1.55,5.16,4.94,6.94
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,ALL,51,ALOS,ELD_LE90,10.35,10.28,3.08,11.23,11.03,14.21
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,STEEP,53,ALOS,ELD_AVG,7.05,7.06,2.15,6.82,6.89,8.37
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,STEEP,53,ALOS,ELD_STD,8.86,8.82,3.69,8.98,9.06,10.98
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,STEEP,53,ALOS,ELD_RMSE,8.86,8.82,3.7,9.11,9.08,11.3
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,STEEP,53,ALOS,ELD_MAE,7.05,7.06,2.16,6.9,6.9,8.69
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,STEEP,53,ALOS,ELD_LE90,13.52,13.47,4.25,14.32,14.15,17.97
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FLAT,52,ALOS,ELD_AVG,2.4,2.46,1.14,3.4,3.38,4.78
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FLAT,52,ALOS,ELD_STD,3.38,3.44,2.57,5,5.02,6.43
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FLAT,52,ALOS,ELD_RMSE,3.38,3.44,2.59,5.49,5.18,7.29
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FLAT,52,ALOS,ELD_MAE,2.41,2.47,1.12,3.84,3.49,5.74
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FLAT,52,ALOS,ELD_LE90,5.26,5.35,2.03,8,7.38,11.18
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,URBAN,55,FABDEM,ELD_AVG,2.63,3,3.29,3.53,3.63,5.13
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,URBAN,55,FABDEM,ELD_STD,4.1,4.66,6.49,5.29,5.43,6.86
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,URBAN,55,FABDEM,ELD_RMSE,4.12,4.72,7.02,6.03,5.63,6.93
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,URBAN,55,FABDEM,ELD_MAE,2.69,2.95,3.33,4.54,3.89,5.34
